genome,D300693,D300694,D300695,D300696,D300697,D300698,D300699,D300700,D300701,D300702,D300703,D300704,D300705,D300706,D300707,D300708,D300709,D300710,D300711,D300712,D300713,D300714,D300715,D300716,D300717,D300718,D300719,D300720,D300721,D300722,D300723,D300724,D300725,D300726,D300727,D300728,D300729,D300730,D300731,D300732,D300733,D300734,D300735,D300736,D300737,D300738,D300739,D300740,D300741,D300742,D300743,D300744,D300745,D300746,D300747,D300748,D300749,D300750,D300751,D300752,D300753,D300754,D300755,D300756,D300757,D300758,D300759,D300760,D300761,D300762,D300763,D300764,D300765,D300766
21-TM1:bin_000073,9.448704333938172,7.02695018855934,10.762181100584494,12.604209346857205,0,0,0,0,0,0,0,0,6.331730648627405,4.571581473522255,0,5.387562609226447,3.770501124666572,13.71188467359584,7.969312071978661,10.751293993695178,1.9788445618817472,1.2033514227659272,0,0,0,0,1.6585529011380455,0,1.653284946191603,0,1.7449975332591918,0,0,0.6522731643685562,0.5415959394937746,0,6.1848299621208955,2.1747623148899167,2.8719886948014484,0,3.2939268005117444,0,0,0,0,0,0,0,0,0,0,0,0,0,5.933573596675336,1.6334674013930814,1.088409662934502,0,0.9978008378556915,1.0675385271466917,1.2288382905068107,0,3.815855708205467,1.9541102591332125,0.658745223302757,7.151424438293852,0.600095324899031,1.6377821073492154,0,0.9112558637355654,0,0,0.9563595922770108,2.599158799575219
MPB:bin_000248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.567148252301706,3.0930317395207343,1.0077048657791525,0,0,0,0,0,0,0,0,0.8074763809663532,0,0,0,0,1.5588512865181787,0,2.9582796468583994,2.0640606152511145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8147296060199465,0,0,0,0,0.870436348098224,1.0438229660460252,0,0,0,0.7812759557727612,0,1.076980566291023,1.0776713496294605,1.4266649605414687
21:bin_000107,2.340576346000917,1.1760217568638247,6.58224214616172,5.845795152155988,0,0,0,0,0,0,0.5821454880429513,0,3.2342245895325115,1.848542585956161,0,2.020506166348622,2.4221206498354615,6.786805873884587,1.5115133000106908,1.7332558115693908,0,1.0903914507358465,0,0,0,0,1.7328603919926069,0,1.9124248153610253,0,4.609581748603949,0,0,0.5877252976264573,0.7358318968862905,0,0.5451517898593917,1.227953527948109,1.22940339972965,0,1.4467084249266642,0,0,0,0,0,0,0,0,0.5214705507608898,0,0,0,0,1.181777308481457,6.59388505592258,0,0,1.6610258355435334,1.6126967761588356,0.5297304263648199,0,0.7587222968312246,1.6064579339473564,0.5190980333001864,1.0265531568395139,1.3356394593589223,2.766706843248357,0.6047722749366962,0.9044124431218229,0,1.3891089732418107,0.6997608443818932,2.9001829181671863
MPB:bin_000266,13.074838569296075,2.762206373595383,0,0,0,0,0,0.7616295748829385,0,0,0,0,0,0,0,6.173858315383082,0,0,4.443826855845299,0,4.147480562673526,7.006645645017772,0,0,0,4.110237842857907,0,0,0,0,0,0,0,0,0,0,2.3557273863299315,1.7893827706760155,3.0279653167105094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.486379284356295,0,0,1.5169228730775404,0,0,0,0,1.5635104613903463,0,2.0859569874696713,0,0,0,0,0,0,0,3.962452166429221
MPB:bin_000325,2.4479227119770113,2.6263256379112656,0,0,0,0,0,0.8145415746565374,0,0,0,0,0,1.2066054976365923,0,13.861776220033676,0,0,4.239127425874276,0,3.367182214779931,8.362937648092398,0,0,0,0,2.5652067915009598,0.8575214547305308,1.1675593692981847,0,0,1.1756454145324446,0,0,1.7067018988365323,0,1.8166648292970289,1.248274127132057,0,0,1.7095429417566776,0,0,0,0,0,0,0,0,0,0,0,1.5704411095511008,0.5999335633040213,0,0,0,0,1.7563108790575315,0,1.4751933244718696,0,0,1.3654853594016425,2.1456794536261663,0,0,0,0,1.9564222867918701,0,0,0,0
TM4:bin_000045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.194601771672416,0,0,0,0,0.9185327354195195,0,0,0,0,0,1.7045156482052637,0,0,0.5285712476777777,0,0,0.7986454683427067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1309471048875657,0,0.8064691187404014,1.1248419441726016,2.876570835240254,0.8654856723183874,0,0,0.7036763016654879,1.6634075660578391,0,0,0,8.98476151885545,2.217439595087652,0,0,0,0
21-TM3:bin_000011,0,0,0,0,0,0,0,0,0,0.7289789397827097,0,0.7754243731152681,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.49416264266608,0,2.060405168047676,3.170636806429153,0.8170394813812405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00-TM2:bin_000080,18.235947430122785,11.220915471659179,7.762836742269834,25.18462473713544,0,0,0,1.1991377941326709,0,0,0,0,3.6043927588463593,0.6358313094827472,0.6336565762415957,3.8029509612826677,3.3608226358373785,2.2757824740776855,5.225024200229207,8.268740384391686,4.881315197743942,4.9233937572006425,0,0,1.3594611516780342,11.20387163207155,3.3131808052986615,1.2482968804210284,1.0643549083729251,0,1.260030324884916,1.1741030742635998,3.044323086462336,2.422551680259592,2.9027125498292072,0,3.1614046551429404,7.4236795070334916,8.56637538727953,0,8.927178804544079,0,0,0,0,0,0,0,0,0,0,0,0,0,9.643323518374473,2.827608390221995,1.2038918621482115,4.891733687224807,7.586025872245043,2.0752518391668446,2.010465018657188,1.748030349161008,4.244168933278172,4.110599852118139,2.8387349323860263,4.245837914602777,11.122597299082464,0.7600439801866629,4.3587217423760425,4.609271241833371,2.923144927257702,1.845033566754701,1.9119445453138544,3.9737433835005516
21:bin_000224,0,1.0278471449856252,0,1.051490287425066,0,0,0,0,0,0,0,0,0,0,0,1.8308745864198828,0,0,0.8030274414342574,2.364873844948552,0,0.83135724228625,0,0,0,0,0.6045089850936283,0,0,0,0,0,0.7489559943760099,2.2101441672087803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6052784364747935,0,0,0,0,0,0,0.855350135353493,1.5961919151644877,0,0.5196594827887716,0.6668345469680118,0,1.7668702215320478,0,0
MPB:bin_000451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.363537740957433,0,0,1.805290692815973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6862094460222747,0,0,0
